City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,College,US,64.8569,-147.8028,36.07,35,40,14.97,scattered clouds
80,Ostrovnoy,RU,68.0531,39.5131,20.43,91,60,7.38,broken clouds
81,Shimoda,JP,34.6667,138.95,47.1,89,100,15.39,overcast clouds
82,Vaitape,PF,-16.5167,-151.75,82.22,70,7,18.25,light rain
83,Svetlogorsk,BY,52.6333,29.7333,45.61,90,100,13.78,light rain
84,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,20,17.27,few clouds
85,Matara,LK,5.9485,80.5353,78.66,86,17,2.39,few clouds
86,Georgetown,MY,5.4112,100.3354,78.75,93,20,3.44,few clouds
87,Chuy,UY,-33.6971,-53.4616,62.65,72,68,7.45,broken clouds
88,Prince Rupert,CA,54.3161,-130.3201,48.29,29,0,6.91,clear sky
89,Muros,ES,42.7762,-9.0603,54.84,86,19,3.78,few clouds
90,Muroto,JP,33.2833,134.15,55.76,65,98,13.44,overcast clouds
91,Jiazi,CN,22.8779,116.067,66.76,62,77,22.84,broken clouds
92,Busselton,AU,-33.65,115.3333,59.45,90,22,5.91,few clouds
93,Pevek,RU,69.7008,170.3133,16.0,87,38,2.1,scattered clouds
94,Ushtobe,KZ,45.2514,77.9838,53.2,26,0,8.01,clear sky
95,Kailua,US,21.4022,-157.7394,84.18,64,40,13.8,scattered clouds
96,Yanam,IN,16.7333,82.2167,77.45,97,37,3.29,scattered clouds
97,Butaritari,KI,3.0707,172.7902,81.16,74,67,9.19,broken clouds
98,Ahuimanu,US,21.4447,-157.8378,83.91,59,40,16.11,scattered clouds
99,Arrifes,PT,37.7667,-25.7,61.05,94,40,4.61,scattered clouds
100,Bluff,NZ,-46.6,168.3333,52.81,63,35,37.07,scattered clouds
101,Rocha,UY,-34.4833,-54.3333,59.76,86,80,3.96,broken clouds
102,Loiza,PR,18.4313,-65.8802,79.05,94,75,5.75,mist
103,Norman Wells,CA,65.282,-126.8329,12.24,52,75,11.5,broken clouds
104,Havre-Saint-Pierre,CA,50.2334,-63.5986,34.16,100,100,8.05,mist
105,Reconquista,AR,-29.15,-59.65,57.7,74,0,7.2,clear sky
106,Fort Myers Beach,US,26.452,-81.9481,80.01,71,0,11.5,clear sky
107,Geraldton,AU,-28.7667,114.6,57.61,94,2,0.0,mist
108,Ixtapa,MX,20.7,-105.2,76.23,78,75,12.66,broken clouds
109,Itoman,JP,26.1247,127.6694,69.82,66,20,18.41,few clouds
110,Saldanha,ZA,-33.0117,17.9442,57.25,61,10,17.56,clear sky
111,Clyde River,CA,70.4692,-68.5914,-5.57,71,0,9.22,clear sky
112,Sabha,LY,27.0377,14.4283,75.33,18,0,6.26,clear sky
113,Bengkulu,ID,-3.8004,102.2655,76.08,89,100,4.27,overcast clouds
114,Fairbanks,US,64.8378,-147.7164,36.09,35,0,14.97,clear sky
115,Upernavik,GL,72.7868,-56.1549,-11.33,98,9,8.72,clear sky
116,Moerai,PF,-22.4333,-151.3333,80.71,71,12,11.03,few clouds
117,Mahebourg,MU,-20.4081,57.7,77.29,83,40,14.97,scattered clouds
118,Wilmington,US,34.2257,-77.9447,67.95,48,0,16.11,clear sky
119,Solnechnyy,RU,50.7214,136.6319,31.28,87,100,6.76,overcast clouds
120,Bat Yam,IL,32.0231,34.7503,59.11,80,0,4.61,clear sky
121,Sabang,ID,5.8933,95.3214,83.12,72,99,4.0,overcast clouds
122,Mangochi,MW,-14.4782,35.2645,70.83,86,48,1.9,scattered clouds
123,Nuevo Progreso,MX,23.1667,-97.95,85.53,63,81,5.99,broken clouds
124,Dingle,PH,10.9995,122.6711,78.37,84,87,2.95,overcast clouds
125,Hithadhoo,MV,-0.6,73.0833,82.6,67,61,3.22,broken clouds
126,Mount Gambier,AU,-37.8333,140.7667,58.91,100,100,6.91,mist
127,Codrington,AU,-38.2667,141.9667,63.23,79,36,4.23,scattered clouds
128,Byron Bay,AU,-28.65,153.6167,66.09,73,83,8.59,broken clouds
129,Bethel,US,41.3712,-73.414,64.49,32,0,16.11,clear sky
130,Guymon,US,36.6828,-101.4816,82.4,9,0,20.71,clear sky
131,Vostok,RU,46.4856,135.8833,38.5,59,91,5.08,overcast clouds
132,Harper,LR,4.375,-7.7169,79.93,86,100,7.0,light rain
133,Nizhniy Tsasuchey,RU,50.5167,115.1333,38.75,63,97,8.84,light rain
134,Lagoa,PT,39.05,-27.9833,58.73,73,100,12.8,overcast clouds
135,Cabo San Lucas,MX,22.8909,-109.9124,85.6,29,20,3.44,few clouds
136,Areosa,PT,41.7178,-8.8571,54.77,88,33,6.69,scattered clouds
137,Kwekwe,ZW,-18.9281,29.8149,63.73,93,74,3.83,broken clouds
138,Kalabo,ZM,-14.97,22.6814,70.09,80,100,3.56,overcast clouds
139,Kibaya,TZ,-5.3,36.5667,60.62,96,99,4.43,overcast clouds
140,Amurzet,RU,47.6967,131.0981,45.7,43,100,7.27,overcast clouds
141,Khatanga,RU,71.9667,102.5,18.81,85,100,11.16,overcast clouds
142,Mandalgovi,MN,45.7625,106.2708,31.17,49,26,2.71,scattered clouds
143,Avarua,CK,-21.2078,-159.775,80.65,78,14,3.44,few clouds
144,Belaya Gora,RU,68.5333,146.4167,11.89,87,97,3.78,overcast clouds
145,San Quintin,MX,30.4833,-115.95,63.88,66,82,17.45,broken clouds
146,Poum,NC,-20.2333,164.0167,77.95,72,12,8.12,few clouds
147,Quatre Cocos,MU,-20.2078,57.7625,77.11,83,47,18.48,light rain
148,Buala,SB,-8.145,159.5921,78.78,81,100,0.78,overcast clouds
149,Leland,US,34.2563,-78.0447,67.95,51,0,16.11,clear sky
150,Billericay,GB,51.6287,0.4196,52.12,89,5,1.99,clear sky
151,Waingapu,ID,-9.6567,120.2641,80.55,81,87,3.74,overcast clouds
152,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.33,96,99,1.07,overcast clouds
153,Amol,IR,36.4696,52.3507,48.81,74,19,4.68,few clouds
154,Oudtshoorn,ZA,-33.5907,22.2014,48.56,76,36,1.72,scattered clouds
155,Caravelas,BR,-17.7125,-39.2481,74.88,84,100,15.46,light rain
156,Carnarvon,AU,-24.8667,113.6333,69.87,78,50,6.91,scattered clouds
157,Luderitz,NA,-26.6481,15.1594,57.72,71,0,13.71,clear sky
158,Ponta Do Sol,PT,32.6667,-17.1,66.0,66,100,2.95,overcast clouds
159,Husavik,IS,66.0449,-17.3389,40.62,77,100,12.84,overcast clouds
