City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Aquiraz,BR,83.17,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
380,Bhadrak,IN,78.17,broken clouds,21.0633,86.5054,Hotel bluevine
382,Aketi,CD,72.05,overcast clouds,2.7388,23.7833,
386,Bac Lieu,VN,81.28,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
387,Vangaindrano,MG,74.5,light rain,-23.35,47.6,Hotel Fanilo
394,Brokopondo,SR,77.36,overcast clouds,4.75,-55.1667,Matu Island
397,Mahibadhoo,MV,83.48,overcast clouds,3.7833,72.9667,Omadhoo Inn
399,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
400,Tadine,NC,77.79,overcast clouds,-21.55,167.8833,
401,Celestun,MX,81.66,few clouds,20.8667,-90.4,Posada Lilia
402,Berbera,SO,82.87,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
403,Balurghat,IN,79.86,broken clouds,25.2167,88.7667,"Circuit House, Balurghat"
407,Diamantino,BR,71.92,broken clouds,-14.4086,-56.4461,Hotel Delta
411,Coahuayana,MX,85.1,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
416,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
419,Haysville,US,70.12,clear sky,37.5645,-97.3523,HAYSVILLE EXPRESS INN
423,Morant Bay,JM,83.71,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
428,Mackay,AU,76.68,clear sky,-21.15,149.2,International Lodge Motel
435,Alappuzha,IN,81.86,broken clouds,9.49,76.3264,Panoramic Sea Resort
438,Pontianak,ID,75.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
449,Vilhena,BR,75.42,clear sky,-12.7406,-60.1458,Hotel Mirage
451,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
454,Kavaratti,IN,82.62,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
455,Kalmunai,LK,78.98,clear sky,7.4167,81.8167,VS Villa
458,Asaba,NG,77.74,overcast clouds,6.2006,6.7338,Crimson Suite Hotels
460,Bowen,AU,76.23,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
461,Lamar,US,77.99,overcast clouds,33.6668,-95.5836,Kings Inn Paris TX
462,Shenzhen,CN,72.21,overcast clouds,22.5455,114.0683,Grand Skylight
465,Adrar,MR,81.86,few clouds,20.5022,-10.0711,
468,Bhadra,IN,80.69,clear sky,29.1167,75.1667,Hotel Ganpati
473,Tombouctou,ML,76.91,clear sky,20.0,-3.0,
477,Santa Rosa,PH,81.01,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
479,Dzilam Gonzalez,MX,84.33,scattered clouds,21.2833,-88.9333,posadas
481,Bilma,NE,86.81,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
489,Alim,PH,80.29,scattered clouds,9.5649,122.4876,Calamai Tropica
490,Loa Janan,ID,75.02,moderate rain,-0.583,117.095,Kost bu jono
494,Natchez,US,71.82,overcast clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
497,Xapuri,BR,77.25,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
500,Bandarbeyla,SO,82.53,broken clouds,9.4942,50.8122,JABIR HOTEL
503,Cuamba,MZ,71.78,broken clouds,-14.8031,36.5372,Hotel Vision
506,Motihari,IN,79.57,clear sky,26.65,84.9167,"Rajeshwari Palace Hotel, Motihari"
512,Tucupita,VE,74.73,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
514,Laredo,US,89.89,scattered clouds,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
517,Hambantota,LK,80.49,few clouds,6.1241,81.1185,Bungalow 63
519,Bambanglipuro,ID,75.92,overcast clouds,-7.95,110.2833,Puri Brata
520,Markala,ML,89.37,broken clouds,13.7021,-6.0659,Hôtel Igor
522,Abhayapuri,IN,76.53,overcast clouds,26.3333,90.6667,Airtel Office
525,Amahai,ID,80.83,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
527,Kollam,IN,81.19,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
528,Altamira,BR,73.83,broken clouds,-3.2033,-52.2064,Requinte Hotel
529,Damara,CF,72.81,scattered clouds,4.9608,18.7035,
531,Linguere,SN,89.82,clear sky,15.3953,-15.1193,AYO Casablanca
535,Kotar,IN,84.2,few clouds,24.7167,80.9833,Manmohan Tripathi
537,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
538,Birao,CF,82.13,broken clouds,10.2849,22.7882,
539,Kandi,BJ,80.49,overcast clouds,11.1342,2.9386,Baric Motel De Kandi
540,Daru,PG,75.4,very heavy rain,-9.0763,143.2092,Daru Lodge
544,Maragogi,BR,79.97,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
548,Pathein,MM,79.0,clear sky,16.7833,94.7333,Pathein Hotel
549,Palu,ID,78.44,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
555,Hurricane,US,77.34,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
557,Muskogee,US,77.07,overcast clouds,35.5834,-95.3336,
560,Agadez,NE,84.33,few clouds,19.75,10.25,
564,Niono,ML,85.89,overcast clouds,14.2526,-5.993,Hôtel Campement
565,Dong Hoi,VN,76.03,broken clouds,17.4833,106.6,Nam Long Hotel
566,Touros,BR,80.22,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
571,San Carlos,VE,85.95,broken clouds,9.6612,-68.5827,Hotel Paternopoli
572,Francisco Sa,BR,73.54,scattered clouds,-16.4758,-43.4883,Amaralina Hotel
583,Pemangkat,ID,77.27,overcast clouds,1.1667,108.9667,Ramah Kost KITA
590,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
592,Kimbe,PG,83.91,broken clouds,-5.5502,150.1429,Kimbe Bay Hotel
593,Noumea,NC,78.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
594,Tra Vinh,VN,78.98,broken clouds,9.9347,106.3453,Hồng Ân
595,Orodara,BF,84.58,broken clouds,10.9492,-4.9342,Bkf Orodara
596,Ternate,ID,81.45,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
601,Edeia,BR,75.99,overcast clouds,-17.3383,-49.9314,Hotel Imperial Edeia
602,Tiznit,MA,71.58,clear sky,29.5833,-9.5,
611,Kloulklubed,PW,82.33,broken clouds,7.0419,134.2556,Storyboard Beach Resort
614,Loandjili,CG,76.87,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
615,Owando,CG,70.39,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
616,Samarai,PG,83.44,overcast clouds,-10.6167,150.6667,Nuli Sapi
622,Inirida,CO,76.12,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
623,Kampong Thum,KH,77.97,broken clouds,12.7111,104.8887,Sambor Village Hotel
624,Santa Cruz,BO,77.05,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
626,Nizwa,OM,80.85,broken clouds,22.9333,57.5333,Orient Apartments
629,Le Vauclin,MQ,80.65,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
630,Alyangula,AU,76.87,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
631,Tucurui,BR,75.27,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
632,Nanakuli,US,81.77,broken clouds,21.3906,-158.1547,Camp Pālehua
637,America Dourada,BR,78.17,overcast clouds,-11.4553,-41.4361,Pousada do Ninho
638,Antsohihy,MG,78.1,clear sky,-14.8796,47.9875,Hotel de Ville
644,Obo,CF,70.11,overcast clouds,5.3998,26.4869,
646,San Pedro,PH,80.26,few clouds,14.35,121.0167,Esquivel's Garden And Resort
647,Bontang,ID,78.19,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
649,Odweyne,SO,77.38,overcast clouds,9.4092,45.064,Eng Hiirey House
662,Morondava,MG,79.74,clear sky,-20.2833,44.2833,La Case Bambou
667,Meadow Lake,US,78.85,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
668,Doha,QA,85.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
671,Umm Kaddadah,SD,78.94,overcast clouds,13.6017,26.6876,
672,Gizo,SB,83.16,overcast clouds,-8.103,156.8419,Imagination Island
674,Kapit,MY,73.35,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
677,Sigli,ID,78.96,overcast clouds,5.3848,95.9609,Losmen Dua Mali
681,Kralendijk,BQ,78.66,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
